"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U10";"DIP-8_W7.62mm_Socket_LongPads";1;"DS1210";;;
2;"C9,C5,C14,C11,C3,C13,C8,C4,C6,C7";"C_Disc_D8.0mm_W2.5mm_P5.00mm";10;"100nF";;;
3;"JP3,JP4,JP1";"PinHeader_1x03_P2.54mm_Vertical";3;"Jumper_3_Bridged12";;;
4;"U3";"PLCC-32_THT-Socket";1;"SST39SF010";;;
5;"RN1";"R_Array_SIP9";1;"4.7k";;;
6;"X1";"Oscillator_DIP-8";1;"CXO_DIP8";;;
7;"C10";"C_Disc_D9.0mm_W2.5mm_P5.00mm";1;"10uF";;;
8;"C1,C2";"C_Disc_D8.0mm_W2.5mm_P5.00mm";2;"20pF";;;
9;"U4";"DIP-20_W7.62mm_LongPads";1;"74HCT273";;;
10;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
11;"Y1";"Crystal_HC18-U_Vertical";1;"8.0 MHz";;;
12;"J2";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
13;"C12";"C_Disc_D9.0mm_W2.5mm_P5.00mm";1;"100nF";;;
14;"H4,H2,H1,H3";"MountingHole_3.2mm_M3_Pad";4;"MountingHole_Pad";;;
15;"J5";"PinHeader_2x07_P2.54mm_Vertical";1;"Conn_02x07_Odd_Even";;;
16;"U2";"DIP-24_W15.24mm_LongPads";1;"MC68B50";;;
17;"U8";"DIP-16_W7.62mm_LongPads";1;"74HCT138";;;
18;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
19;"JP2";"PinHeader_2x01_P2.54mm_Vertical";1;"VBAT";;;
20;"D1";"LED_D3.0mm";1;"STAT";;;
21;"SW1";"SW_PUSH_6mm_H5mm";1;"Reset";;;
22;"U12";"DIP-16_W7.62mm_LongPads";1;"74HCT139";;;
23;"U6";"DIP-32_W15.24mm_LongPads";1;"AS6C4008-55PCN";;;
24;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
25;"J6";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
26;"U1";"DIP-40_W15.24mm_LongPads";1;"MC68B09";;;
27;"U9";"TO-92L_Inline";1;"DS1233";;;
28;"U5";"DIP-14_W7.62mm_LongPads";1;"74HCT02";;;
29;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4.7k";;;
30;"D2";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
31;"U11";"DIP-14_W7.62mm_LongPads";1;"74HCT20";;;
32;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
33;"U7";"TO-92L_Inline";1;"DS1813";;;
34;"D3";"LED_D3.0mm";1;"PWR";;;
35;"BT1";"BatteryHolder_Keystone_103_1x20mm";1;"3.0V";;;
